buyer_id,name,email,phone_number,created_at
1,Endah Nugroho,endahnugroho@gmail.com,+62 (0007) 629 5738,2022-10-08 00:08:57
2,Cemeti Hutapea,cemetihutapea@yahoo.com,+62 (0604) 200 5722,2020-01-22 07:33:56
3,Kayun Winarsih,kayunwinarsih@yahoo.com,+62 (012) 858 0776,2020-02-11 20:26:53
4,Hartaka Suryatmi,hartakasuryatmi@gmail.com,+62-009-715-0160,2023-04-01 05:13:29
5,Bahuwirya Riyanti,bahuwiryariyanti@hotmail.com,(068) 647-9029,2021-07-30 19:16:08
6,Bella Pratama,bellapratama@gmail.com,(052) 822 7717,2022-03-17 10:53:06
7,Rahmat Sihombing,rahmatsihombing@yahoo.com,+62 (976) 544 8422,2021-06-22 09:01:23
8,Febi Nuraini,febinuraini@gmail.com,(0301) 918 7753,2022-07-12 06:38:15
9,Puti Prayoga,putiprayoga@hotmail.com,+62-038-680-3649,2020-03-17 15:00:03
10,Tirta Haryanti,tirtaharyanti@hotmail.com,+62 (006) 083-3275,2021-10-09 13:49:37
11,Jatmiko Mangunsong,jatmikomangunsong@gmail.com,+62 (0048) 728 0842,2022-06-13 03:58:57
12,Sakura Hidayat,sakurahidayat@gmail.com,+62-0565-652-8533,2021-07-18 00:41:44
13,Dinda Prabowo,dindaprabowo@gmail.com,+62-0716-294-2197,2022-12-04 21:55:27
14,Margana Iswahyudi,marganaiswahyudi@yahoo.com,+62-039-176-6382,2020-03-07 11:48:30
15,Cakrawala Tarihoran,cakrawalatarihoran@hotmail.com,+62-0648-193-2147,2020-01-25 06:41:55
16,Indra Nababan,indranababan@gmail.com,(0073) 868-7858,2022-10-23 23:45:45
17,Galuh Irawan,galuhirawan@gmail.com,+62 (095) 022 7251,2021-01-12 08:45:49
18,Anggabaya Riyanti,anggabayariyanti@hotmail.com,(032) 861-5345,2022-05-14 14:49:08
19,Tantri Siregar,tantrisiregar@gmail.com,+62 (99) 252 8308,2021-12-14 19:17:30
20,Dono Haryanto,donoharyanto@gmail.com,+62 (002) 139 5681,2023-03-03 01:38:44
21,Kiandra Firgantoro,kiandrafirgantoro@yahoo.com,+62 (075) 063-1915,2022-09-26 03:47:44
22,Teguh Hartati,teguhhartati@hotmail.com,+62 (0031) 568 3113,2022-01-16 18:23:42
23,Narji Usada,narjiusada@hotmail.com,+62 (45) 012 0639,2022-03-29 18:12:31
24,Balijan Saragih,balijansaragih@gmail.com,+62 (052) 765-1476,2021-08-04 07:10:39
25,Gada Hartati,gadahartati@gmail.com,089 967 8545,2022-04-01 06:40:35
26,Siti Nashiruddin,sitinashiruddin@hotmail.com,(062) 988-6915,2021-01-28 22:46:10
27,Ganjaran Maheswara,ganjaranmaheswara@hotmail.com,087 608 3643,2022-07-28 17:12:45
28,Edi Prabowo,ediprabowo@yahoo.com,+62-0329-290-5178,2021-01-09 18:48:13
29,Jagapati Suwarno,jagapatisuwarno@yahoo.com,+62-083-621-4756,2020-11-23 18:57:53
30,Hairyanto Oktaviani,hairyantooktaviani@yahoo.com,+62 (006) 554-3862,2021-08-10 23:03:30
31,Puti Laksmiwati,putilaksmiwati@yahoo.com,0844555847,2022-07-13 15:23:43
32,Salwa Nugroho,salwanugroho@hotmail.com,+62-021-315-0435,2022-05-14 06:42:25
33,Kenzie Fujiati,kenziefujiati@yahoo.com,+62 (044) 264-1355,2020-09-27 04:34:41
34,Cecep Simbolon,cecepsimbolon@gmail.com,+62 (33) 851 8348,2021-01-24 21:48:18
35,Nardi Nainggolan,nardinainggolan@yahoo.com,0869907687,2021-09-16 13:47:25
36,Rika Wibisono,rikawibisono@hotmail.com,+62 (303) 860-5464,2021-12-04 11:30:27
37,Karen Napitupulu,karennapitupulu@yahoo.com,+62 (726) 149-9697,2022-01-15 20:26:57
38,Hasim Novitasari,hasimnovitasari@gmail.com,+62 (865) 331-5999,2021-09-27 02:38:46
39,Prima Safitri,primasafitri@hotmail.com,+62 (0428) 437 9225,2021-09-13 13:24:33
40,Taufan Jailani,taufanjailani@hotmail.com,+62-12-415-1434,2023-04-07 20:41:46
41,Icha Usada,ichausada@hotmail.com,+62 (038) 930-0142,2021-02-18 01:33:10
42,Prasetyo Oktaviani,prasetyooktaviani@hotmail.com,(0193) 606-4239,2021-09-02 12:00:15
43,Paulin Purwanti,paulinpurwanti@gmail.com,+62 (0324) 647-6156,2021-07-08 10:42:46
44,Gamblang Prastuti,gamblangprastuti@hotmail.com,+62 (005) 527 0595,2020-11-01 11:09:08
45,Zalindra Kusmawati,zalindrakusmawati@yahoo.com,+62 (006) 501-9486,2021-12-04 04:36:16
46,Warsa Tampubolon,warsatampubolon@hotmail.com,+62 (0766) 140 0576,2020-05-29 06:22:42
47,Luluh Setiawan,luluhsetiawan@yahoo.com,+62 (0351) 026 5180,2023-03-06 10:37:06
48,Caturangga Puspita,caturanggapuspita@gmail.com,+62 (57) 189 9541,2020-10-28 13:51:38
