buyer_address_id,buyer_id,city_id,address,zip_code
1,136,1375,"Jl. Sentot Alibasa No. 9
Kupang",55870
2,75,3173,"Gang Soekarno Hatta No. 939
Bengkulu",22009
3,177,6471,"Gang Dipatiukur No. 23
Makassar",17409
4,176,5171,"Jalan Ronggowarsito No. 08
Kota Administrasi Jakarta Barat",82161
5,167,6471,"Gg. Siliwangi No. 576
Kota Administrasi Jakarta Timur",57283
6,26,3175,"Jalan Pasirkoja No. 11
Bima",39574
7,18,7371,"Jalan H.J Maemunah No. 047
Pekanbaru",87222
8,164,1371,"Gg. K.H. Wahid Hasyim No. 7
Pekalongan",46190
9,196,3578,"Gang Rajiman No. 5
Sukabumi",59885
10,4,3174,"Gg. Medokan Ayu No. 46
Surakarta",91610
11,67,3173,"Jalan Yos Sudarso No. 632
Salatiga",77708
12,119,3573,"Jl. Gegerkalong Hilir No. 1
Gorontalo",62311
13,174,3171,"Jl. Rajawali Barat No. 2
Tidore Kepulauan",88118
14,101,7371,"Gang Gedebage Selatan No. 51
Bitung",49277
15,69,3174,"Jl. Cikapayang No. 12
Semarang",93468
16,143,6471,"Jalan Yos Sudarso No. 405
Pangkalpinang",55348
17,78,3172,"Jl. Kutisari Selatan No. 8
Blitar",11551
18,199,3573,"Jl. Dr. Djunjunan No. 1
Tangerang",48383
19,183,6472,"Jalan Pelajar Pejuang No. 406
Banjarmasin",34037
20,149,5171,"Jalan Ahmad Yani No. 7
Makassar",99119
21,138,3173,"Gang Antapani Lama No. 256
Langsa",19982
22,96,3273,"Gang Rawamangun No. 3
Banjar",92654
23,115,6471,"Gg. Antapani Lama No. 39
Kota Administrasi Jakarta Utara",03314
24,99,3578,"Jl. M.T Haryono No. 17
Makassar",37252
25,106,3173,"Gg. Peta No. 275
Pematangsiantar",14283
26,74,6471,"Gg. Ahmad Dahlan No. 235
Pariaman",28406
27,152,3273,"Gang Moch. Toha No. 05
Tegal",61446
28,24,3578,"Gang Jakarta No. 639
Bau-Bau",73119
29,162,3573,"Gg. Sukabumi No. 5
Sibolga",46472
30,183,3171,"Gg. Setiabudhi No. 03
Pekalongan",29776
31,66,6471,"Jl. PHH. Mustofa No. 21
Tasikmalaya",45191
32,14,3171,"Gg. Suniaraja No. 93
Padang",46139
33,94,6472,"Gang Ciwastra No. 70
Probolinggo",55448
34,103,1375,"Gang Kutisari Selatan No. 62
Pontianak",70024
35,172,3171,"Gang Soekarno Hatta No. 08
Palu",64845
36,8,1375,"Gg. Siliwangi No. 259
Tegal",64951
37,52,3173,"Gg. Merdeka No. 7
Bima",09787
38,191,1375,"Jalan R.E Martadinata No. 149
Surakarta",98979
39,81,3174,"Jalan Cempaka No. 178
Tegal",38424
40,81,7371,"Jalan Indragiri No. 960
Sawahlunto",20961
41,155,7371,"Gg. Erlangga No. 04
Pekanbaru",48147
42,191,3175,"Gg. H.J Maemunah No. 181
Padang",97660
43,103,6472,"Gang Abdul Muis No. 505
Dumai",48699
44,184,3171,"Jl. S. Parman No. 393
Yogyakarta",07926
45,62,3172,"Gg. Pelajar Pejuang No. 1
Surakarta",70690
