buyer_address_id,buyer_id,city_id,address,zip_code
1,55,3471,"Gang BKR No. 0
Blitar",58264
2,153,3573,"Jl. Siliwangi No. 21
Tasikmalaya",96647
3,33,6471,"Gang Waringin No. 3
Pematangsiantar",03676
4,62,3172,"Gang Gedebage Selatan No. 88
Sungai Penuh",21007
5,69,3173,"Gg. Jakarta No. 74
Payakumbuh",77295
6,3,3578,"Gang Pelajar Pejuang No. 379
Salatiga",22295
7,4,3173,"Gg. Tubagus Ismail No. 964
Pagaralam",15765
8,39,6471,"Jalan Setiabudhi No. 4
Yogyakarta",43901
9,72,1375,"Jalan Moch. Ramdan No. 9
Bima",28256
10,133,3174,"Jl. Cikutra Timur No. 99
Pagaralam",65428
11,112,3471,"Gg. Laswi No. 69
Ambon",10554
12,68,3471,"Jalan Ciumbuleuit No. 27
Blitar",49808
13,58,3273,"Gang Rajawali Barat No. 21
Probolinggo",44255
14,30,1371,"Jl. M.T Haryono No. 60
Sukabumi",27335
15,14,3573,"Gg. Jamika No. 1
Tangerang Selatan",09309
16,2,3172,"Gg. Moch. Ramdan No. 7
Batu",38823
17,60,1375,"Gang M.T Haryono No. 6
Cirebon",81124
18,87,3573,"Gg. Ir. H. Djuanda No. 05
Padang Sidempuan",47362
19,133,3471,"Jl. Pacuan Kuda No. 6
Pontianak",44678
20,64,3471,"Jalan Setiabudhi No. 869
Kupang",81672
21,116,3174,"Jalan Rajawali Barat No. 661
Bengkulu",33355
22,83,3173,"Jl. Pasirkoja No. 73
Batam",65557
23,120,3171,"Gang Rajiman No. 56
Bandar Lampung",80003
24,10,3171,"Jalan Dr. Djunjunan No. 4
Surakarta",32519
25,124,7371,"Gang Sukabumi No. 967
Bitung",38295
26,58,6471,"Jalan Moch. Toha No. 0
Mataram",70959
27,182,3175,"Gg. Kutisari Selatan No. 4
Dumai",03501
28,119,3578,"Gg. Jayawijaya No. 060
Salatiga",10064
29,82,6472,"Jalan Ahmad Dahlan No. 42
Palopo",89237
30,97,3172,"Jl. Siliwangi No. 5
Kupang",62240
