seller_id,name,email,phone_number,created_at
1,Juli Damanik,julidamanik@hotmail.com,+62 (324) 924-5224,2023-02-21 13:02:02
2,Darimin Uyainah,dariminuyainah@yahoo.com,+62 (351) 347 4995,2022-09-07 14:34:34
3,Gambira Uwais,gambirauwais@hotmail.com,+62 (203) 606-9922,2022-12-26 21:58:11
4,Amalia Kusmawati,amaliakusmawati@yahoo.com,+62 (085) 519-8578,2022-03-08 17:02:55
5,Rahman Pratama,rahmanpratama@hotmail.com,(0883) 327-8560,2023-02-12 09:47:18
6,Dodo Mahendra,dodomahendra@gmail.com,0876795943,2022-06-11 10:53:29
7,Daryani Kurniawan,daryanikurniawan@hotmail.com,0891292263,2023-01-09 09:59:17
8,Harimurti Hartati,harimurtihartati@hotmail.com,+62 (0249) 391-3044,2022-03-31 17:22:01
9,Baktiadi Mayasari,baktiadimayasari@gmail.com,+62 (016) 692-2593,2022-07-21 17:11:10
10,Langgeng Prayoga,langgengprayoga@hotmail.com,+62-071-596-4768,2022-02-04 09:59:39
11,Balamantri Adriansyah,balamantriadriansyah@yahoo.com,+62 (697) 194-4054,2022-08-17 23:14:39
12,Edward Puspasari,edwardpuspasari@hotmail.com,0823403779,2022-07-14 05:51:23
13,Arta Adriansyah,artaadriansyah@yahoo.com,+62-0243-857-1404,2022-01-19 07:37:35
14,Balamantri Wibowo,balamantriwibowo@hotmail.com,+62 (665) 466-1426,2022-11-10 04:46:45
15,Kania Halim,kaniahalim@yahoo.com,+62-278-208-6474,2022-01-08 07:49:11
16,Rahmat Nurdiyanti,rahmatnurdiyanti@gmail.com,+62 (0244) 112-6710,2022-10-16 21:22:55
17,Tugiman Sihotang,tugimansihotang@hotmail.com,+62-0063-164-9620,2022-11-27 18:46:38
18,Mila Melani,milamelani@yahoo.com,+62-048-375-7539,2022-10-17 13:37:04
19,Usyi Tampubolon,usyitampubolon@hotmail.com,+62-0593-590-2173,2023-01-17 04:14:55
20,Amalia Aryani,amaliaaryani@yahoo.com,+62 (65) 660-4931,2022-07-08 14:43:10
21,Zelaya Pratiwi,zelayapratiwi@hotmail.com,+62 (880) 733-3002,2022-12-26 04:32:41
22,Hasta Ramadan,hastaramadan@gmail.com,+62 (622) 729-9534,2022-08-27 08:06:22
23,Edi Hutasoit,edihutasoit@yahoo.com,084 203 7624,2022-07-07 11:54:15
24,Najib Farida,najibfarida@yahoo.com,+62 (53) 965-0282,2022-09-28 03:26:15
25,Ajiman Prasetyo,ajimanprasetyo@yahoo.com,0850536858,2022-05-25 08:54:25
26,Wani Astuti,waniastuti@gmail.com,(051) 266-5478,2022-12-14 16:31:28
27,Eja Najmudin,ejanajmudin@hotmail.com,0838323310,2022-06-23 10:34:57
28,Ivan Pratama,ivanpratama@gmail.com,+62-09-416-8547,2022-11-02 16:03:04
29,Opung Prasetya,opungprasetya@yahoo.com,+62 (00) 502 1163,2023-04-10 23:35:36
30,Taswir Laksmiwati,taswirlaksmiwati@gmail.com,+62-00-984-9188,2022-11-06 04:29:22
31,Ihsan Mandala,ihsanmandala@gmail.com,+62 (000) 574-3995,2022-06-23 16:53:05
32,Ikin Kusumo,ikinkusumo@gmail.com,(035) 777-7081,2022-04-16 05:15:27
33,Tasdik Putra,tasdikputra@yahoo.com,(064) 876 0730,2022-08-23 11:25:36
34,Puspa Iswahyudi,puspaiswahyudi@hotmail.com,(063) 577 2064,2022-09-05 16:10:31
35,Putu Wijaya,putuwijaya@yahoo.com,+62-047-785-9095,2023-02-06 02:19:57
36,Emas Waskita,emaswaskita@yahoo.com,0831661409,2023-01-08 18:27:22
37,Kani Wibisono,kaniwibisono@gmail.com,080 223 5180,2023-02-13 21:55:48
