seller_address_id,seller_id,city_id,address,zip_code
1,34,3174,"Jl. HOS. Cokroaminoto No. 654
Sabang",59065
2,128,3174,"Jl. Tubagus Ismail No. 255
Depok",68725
3,91,5171,"Jl. Rajawali Barat No. 930
Bitung",50517
4,156,1371,"Jalan Gardujati No. 0
Probolinggo",44793
5,67,3171,"Jalan Dipatiukur No. 674
Bandung",26080
6,23,6472,"Jalan Moch. Toha No. 573
Probolinggo",56221
7,106,3578,"Jalan Ronggowarsito No. 098
Bitung",54436
8,72,7371,"Jalan Monginsidi No. 9
Makassar",05910
9,105,6471,"Gang Peta No. 401
Magelang",55997
10,15,3573,"Gang Ciwastra No. 7
Parepare",21716
11,47,3174,"Jalan Ahmad Dahlan No. 300
Mataram",56388
12,149,3273,"Jalan Veteran No. 3
Samarinda",96478
13,190,3175,"Gang Dipatiukur No. 054
Malang",92355
14,35,3573,"Gang Kutai No. 16
Bogor",07214
15,8,5171,"Gg. Otto Iskandardinata No. 82
Meulaboh",52941
16,197,1371,"Gang Sadang Serang No. 63
Solok",57128
17,119,6472,"Gg. K.H. Wahid Hasyim No. 087
Lhokseumawe",06290
18,127,6472,"Jl. Cikutra Timur No. 175
Prabumulih",83715
19,108,3471,"Jalan Ciwastra No. 440
Gorontalo",75515
20,3,3172,"Jalan Veteran No. 464
Kota Administrasi Jakarta Pusat",64350
21,179,3173,"Jl. Merdeka No. 96
Padangpanjang",98314
22,173,3273,"Gg. Abdul Muis No. 248
Madiun",52756
23,6,6471,"Jalan Tubagus Ismail No. 874
Solok",57085
24,115,1371,"Gg. Bangka Raya No. 55
Probolinggo",99788
25,72,3573,"Gg. Rajawali Barat No. 8
Cirebon",65265
26,15,3171,"Gg. Cikutra Timur No. 2
Malang",41940
27,136,3173,"Gg. Suniaraja No. 698
Magelang",75659
28,164,1371,"Gang Lembong No. 83
Cilegon",91794
29,105,3471,"Jl. Yos Sudarso No. 93
Bau-Bau",93839
30,33,5171,"Gang R.E Martadinata No. 0
Surakarta",41239
31,31,3273,"Gang Soekarno Hatta No. 6
Kota Administrasi Jakarta Utara",92561
32,181,3573,"Jalan Ronggowarsito No. 904
Palangkaraya",42978
33,19,5171,"Gg. Sukabumi No. 139
Tasikmalaya",84864
34,55,3171,"Jalan Pelajar Pejuang No. 2
Meulaboh",92478
35,67,1371,"Jl. BKR No. 515
Bandar Lampung",90160
36,4,3273,"Gang Tubagus Ismail No. 692
Bima",81349
37,58,1375,"Jl. Jend. A. Yani No. 9
Langsa",49589
38,143,3573,"Gang Ciwastra No. 1
Sibolga",47277
39,10,6471,"Jl. Cihampelas No. 0
Kota Administrasi Jakarta Selatan",68285
40,163,3175,"Gang Kutisari Selatan No. 00
Tegal",30892
41,170,7371,"Gang Lembong No. 00
Bontang",41200
42,15,3573,"Jalan Jend. A. Yani No. 624
Langsa",15821
43,41,3174,"Jalan Jayawijaya No. 8
Mataram",48657
44,37,3174,"Gg. Jakarta No. 987
Batam",77699
45,172,3471,"Gg. Rawamangun No. 48
Serang",11249
46,108,6471,"Jalan HOS. Cokroaminoto No. 0
Pekanbaru",41253
47,57,3175,"Gg. Medokan Ayu No. 697
Parepare",76175
48,58,3578,"Gang Ciumbuleuit No. 42
Banjar",66324
49,186,7371,"Gang Jend. Sudirman No. 86
Bau-Bau",67207
50,33,3172,"Jalan Moch. Toha No. 39
Pangkalpinang",00423
51,110,1371,"Gg. Antapani Lama No. 5
Bengkulu",34493
52,172,7371,"Jl. Astana Anyar No. 49
Tanjungbalai",37756
53,1,3172,"Gang Rumah Sakit No. 423
Batam",47128
54,101,6472,"Jalan Pelajar Pejuang No. 899
Magelang",87360
55,76,7371,"Jalan Rungkut Industri No. 39
Pangkalpinang",69823
56,103,3578,"Gang Dipenogoro No. 1
Palangkaraya",23087
57,189,7371,"Jalan Merdeka No. 348
Tasikmalaya",52536
58,143,1371,"Jalan Yos Sudarso No. 6
Palopo",63250
59,181,3471,"Jalan H.J Maemunah No. 1
Malang",43479
60,193,7371,"Gg. Erlangga No. 869
Tanjungbalai",49315
61,77,7371,"Gg. Setiabudhi No. 67
Tangerang",23074
62,2,5171,"Jalan Dr. Djunjunan No. 01
Kupang",04868
63,73,1371,"Jl. Indragiri No. 358
Dumai",14706
64,113,3471,"Jl. Indragiri No. 4
Pasuruan",96303
65,180,3471,"Jl. Kendalsari No. 5
Bima",79502
66,108,1375,"Gang Suniaraja No. 739
Yogyakarta",31113
67,62,1371,"Jl. Ciumbuleuit No. 53
Palembang",90495
68,156,3171,"Jl. Jayawijaya No. 4
Solok",65213
69,149,3174,"Gg. Raya Ujungberung No. 2
Kotamobagu",34758
70,62,3273,"Jl. Wonoayu No. 85
Sawahlunto",90805
71,85,1375,"Jalan Yos Sudarso No. 19
Sungai Penuh",83964
72,123,3175,"Gang Dr. Djunjunan No. 1
Prabumulih",72112
73,79,3175,"Jalan Kendalsari No. 126
Bekasi",62948
74,154,3175,"Jalan Pelajar Pejuang No. 1
Binjai",53114
75,173,3573,"Gang KH Amin Jasuta No. 1
Kota Administrasi Jakarta Utara",38226
76,168,5171,"Jalan Moch. Toha No. 798
Subulussalam",63649
77,152,6471,"Gang Yos Sudarso No. 4
Bogor",27675
78,51,3578,"Jl. Antapani Lama No. 9
Medan",21603
79,140,3172,"Jl. R.E Martadinata No. 30
Malang",96338
80,60,3471,"Gg. Pasteur No. 5
Semarang",27125
81,101,1375,"Jalan Rumah Sakit No. 62
Kota Administrasi Jakarta Barat",07810
82,50,3174,"Jalan Rajawali Barat No. 271
Padangpanjang",79299
83,175,3174,"Gg. Gegerkalong Hilir No. 4
Yogyakarta",38592
84,23,1375,"Jl. Dipenogoro No. 684
Bandar Lampung",04986
85,93,3171,"Jl. Raya Ujungberung No. 7
Bima",34621
86,138,6472,"Gg. Cihampelas No. 692
Padangpanjang",55754
87,198,3578,"Jalan Otto Iskandardinata No. 40
Depok",81218
88,10,6472,"Gang Pasir Koja No. 58
Makassar",07869
89,190,3171,"Jalan Ronggowarsito No. 2
Metro",18385
90,10,3471,"Jl. Kiaracondong No. 58
Pasuruan",52161
91,53,5171,"Jalan Rajiman No. 92
Surakarta",43198
92,136,6471,"Gang Erlangga No. 4
Sorong",06471
93,189,5171,"Gg. Medokan Ayu No. 9
Kediri",21490
94,49,3174,"Gang PHH. Mustofa No. 706
Pematangsiantar",24086
95,65,1375,"Gg. Yos Sudarso No. 47
Kota Administrasi Jakarta Selatan",22186
96,123,6472,"Jalan Sadang Serang No. 5
Metro",68862
97,173,3171,"Jalan Pasirkoja No. 26
Kotamobagu",59630
98,102,1371,"Gang Dr. Djunjunan No. 539
Tasikmalaya",19846
99,122,3175,"Jl. Ronggowarsito No. 6
Kendari",66659
100,52,3171,"Gg. Kapten Muslihat No. 3
Medan",65002
