seller_id,name,email,phone_number,created_at
1,Jagapati Nasyiah,jagapatinasyiah@gmail.com,+62-153-676-9545,2021-01-18 18:23:35
2,Dipa Yulianti,dipayulianti@yahoo.com,0861249360,2022-09-29 19:31:59
3,Jamalia Suryono,jamaliasuryono@hotmail.com,+62-061-837-9666,2021-09-21 15:07:36
4,Raditya Laksita,radityalaksita@hotmail.com,+62 (079) 560-7534,2021-06-10 16:11:54
5,Cakrabuana Haryanti,cakrabuanaharyanti@gmail.com,(0261) 806 2498,2020-04-25 06:36:56
6,Hendra Suryono,hendrasuryono@yahoo.com,(029) 216-4903,2020-07-19 19:23:30
7,Mumpuni Sinaga,mumpunisinaga@yahoo.com,(060) 202-8550,2023-03-06 22:16:35
8,Kadir Uyainah,kadiruyainah@hotmail.com,+62 (098) 279-6615,2020-08-29 19:16:00
9,Rahmi Yuliarti,rahmiyuliarti@gmail.com,+62 (85) 918-2013,2020-04-07 17:48:57
10,Hana Gunarto,hanagunarto@hotmail.com,+62-63-719-5038,2022-09-23 22:26:13
11,Waluyo Yuliarti,waluyoyuliarti@gmail.com,(095) 073 6866,2022-11-11 02:29:23
12,Ilyas Wibisono,ilyaswibisono@yahoo.com,+62-0578-118-0879,2021-02-19 13:17:50
13,Zelaya Novitasari,zelayanovitasari@hotmail.com,+62 (52) 608 6554,2020-09-08 20:33:42
14,Jefri Firmansyah,jefrifirmansyah@yahoo.com,086 112 2801,2023-01-12 11:16:37
15,Jane Gunawan,janegunawan@yahoo.com,+62 (053) 987 2350,2021-12-16 11:21:59
16,Jatmiko Sirait,jatmikosirait@hotmail.com,+62-029-070-5400,2021-12-05 04:15:08
17,Tiara Waskita,tiarawaskita@gmail.com,+62 (0032) 044 5570,2021-03-22 19:59:41
18,Gandewa Hastuti,gandewahastuti@gmail.com,085 318 8276,2021-03-10 09:21:11
19,Anita Laksita,anitalaksita@hotmail.com,+62 (62) 318-3135,2021-03-13 20:08:09
20,Yessi Prastuti,yessiprastuti@gmail.com,+62 (22) 300 1520,2022-03-08 06:59:13
21,Harjasa Kurniawan,harjasakurniawan@hotmail.com,(0306) 907 6333,2023-02-14 21:00:44
22,Sakura Firmansyah,sakurafirmansyah@yahoo.com,+62 (291) 476 3868,2020-04-23 19:10:09
23,Asirwanda Megantara,asirwandamegantara@yahoo.com,+62 (47) 938-9578,2020-10-10 14:45:27
24,Karya Riyanti,karyariyanti@gmail.com,+62 (31) 100 8360,2020-01-29 16:29:11
25,Sarah Damanik,sarahdamanik@yahoo.com,+62-0348-223-2246,2022-04-11 12:38:21
26,Naradi Waluyo,naradiwaluyo@hotmail.com,+62 (000) 150 7427,2020-07-04 18:54:04
27,Uli Marbun,ulimarbun@gmail.com,(054) 934 6064,2022-12-01 11:43:26
28,Hana Prayoga,hanaprayoga@gmail.com,+62 (02) 845 2694,2022-12-12 07:47:20
29,Najam Sihotang,najamsihotang@gmail.com,+62 (07) 643 0669,2020-05-08 19:36:09
30,Maryadi Latupono,maryadilatupono@yahoo.com,(039) 590 0824,2021-07-02 19:20:00
31,Pardi Pranowo,pardipranowo@yahoo.com,+62 (0319) 768 6770,2020-03-25 04:01:37
32,Vera Rajasa,verarajasa@hotmail.com,(034) 065-6456,2022-01-05 20:05:29
33,Paris Sitompul,parissitompul@gmail.com,+62 (016) 014-1203,2021-07-10 08:44:54
34,Candrakanta Sihotang,candrakantasihotang@yahoo.com,+62 (79) 580-9674,2023-02-03 10:52:25
35,Ajiono Prasetyo,ajionoprasetyo@yahoo.com,+62-0191-530-8715,2022-07-16 05:30:17
36,Taufik Narpati,taufiknarpati@yahoo.com,+62-919-514-8355,2020-03-31 17:42:09
37,Salwa Mayasari,salwamayasari@yahoo.com,+62 (589) 079 5990,2021-09-19 18:02:01
38,Xanana Yulianti,xananayulianti@hotmail.com,+62 (052) 446 5172,2020-12-11 00:06:52
39,Galak Pratiwi,galakpratiwi@hotmail.com,+62 (017) 139 1599,2021-05-04 05:55:16
40,Ghaliyati Firmansyah,ghaliyatifirmansyah@hotmail.com,+62 (032) 255 8411,2020-12-30 22:52:48
41,Mahdi Pradana,mahdipradana@yahoo.com,+62 (048) 139-2346,2021-01-05 02:31:41
