seller_address_id,seller_id,city_id,address,zip_code
1,174,3172,"Jl. Suniaraja No. 5
Pagaralam",56908
2,60,6471,"Gg. Suniaraja No. 51
Manado",48568
3,179,3172,"Gang Dipenogoro No. 9
Serang",45350
4,78,1371,"Gang Bangka Raya No. 70
Jayapura",84814
5,68,1371,"Gang KH Amin Jasuta No. 7
Pontianak",32896
6,12,3173,"Jalan Erlangga No. 450
Kota Administrasi Jakarta Utara",58661
7,64,3172,"Gang Lembong No. 16
Tarakan",94660
8,1,3171,"Gg. Antapani Lama No. 93
Pekalongan",52111
9,8,3273,"Jalan Dr. Djunjunan No. 751
Denpasar",67897
10,15,1375,"Jalan Peta No. 708
Tangerang",15231
11,30,3471,"Gg. Pasir Koja No. 435
Banjar",22085
12,80,3471,"Jalan Joyoboyo No. 37
Langsa",52782
13,149,3172,"Gg. Indragiri No. 666
Tanjungbalai",00696
14,26,3273,"Gang S. Parman No. 3
Banjarbaru",72321
15,170,3174,"Jl. Gardujati No. 6
Pekanbaru",28362
16,127,3471,"Gg. Jend. A. Yani No. 2
Pasuruan",52551
17,122,6472,"Jalan Ronggowarsito No. 24
Tebingtinggi",80603
18,16,3573,"Gg. Ahmad Dahlan No. 99
Gorontalo",03710
19,121,3171,"Jalan Rajiman No. 249
Manado",47809
20,135,3171,"Jalan W.R. Supratman No. 909
Tangerang Selatan",86590
21,154,6471,"Jalan Pasteur No. 890
Palu",08405
22,52,3174,"Jl. Ronggowarsito No. 3
Padang",02111
23,118,6471,"Gg. Rungkut Industri No. 199
Bima",53078
24,144,3573,"Jl. Otto Iskandardinata No. 373
Pekanbaru",96776
25,178,3171,"Jalan Gegerkalong Hilir No. 90
Tebingtinggi",21741
26,13,3174,"Gang Pasirkoja No. 6
Banda Aceh",19825
27,128,3174,"Jl. Sadang Serang No. 1
Bekasi",05311
28,70,3273,"Gg. H.J Maemunah No. 7
Solok",44949
29,179,1375,"Gang Laswi No. 80
Pariaman",93384
30,26,3173,"Gang Tubagus Ismail No. 91
Gorontalo",44577
31,38,1371,"Gang Rajiman No. 003
Banjarbaru",99286
32,77,1375,"Gang M.H Thamrin No. 140
Langsa",43862
33,69,1375,"Jl. Laswi No. 61
Tarakan",25167
34,52,3172,"Gg. Kebonjati No. 85
Salatiga",78642
35,30,3173,"Gg. Antapani Lama No. 398
Depok",82052
36,196,3172,"Jalan Cempaka No. 101
Sukabumi",51773
